problem_id,iteration,field,file_source,adding_knowledge,example_testing,uncertainty_estimation,backtracking
0,1,reasoning,reasoning_all,5,0,0,0
0,2,reasoning,reasoning_all,3,0,4,1
0,3,reasoning,reasoning_all,6,0,0,0
0,4,reasoning,reasoning_all,5,0,0,0
1,1,reasoning,reasoning_all,5,3,7,6
1,2,reasoning,reasoning_all,5,3,2,0
1,3,reasoning,reasoning_all,7,3,1,0
1,4,reasoning,reasoning_all,6,3,0,0
10,1,reasoning,reasoning_all,11,0,0,3
10,2,reasoning,reasoning_all,5,0,4,3
10,3,reasoning,reasoning_all,10,0,5,4
10,4,reasoning,reasoning_all,8,0,7,7
11,1,reasoning,reasoning_all,5,0,0,0
11,2,reasoning,reasoning_all,4,0,0,0
11,3,reasoning,reasoning_all,4,0,0,0
11,4,reasoning,reasoning_all,5,0,0,2
12,1,reasoning,reasoning_all,0,0,0,0
12,2,reasoning,reasoning_all,0,5,3,3
12,3,reasoning,reasoning_all,5,5,6,3
12,4,reasoning,reasoning_all,5,4,3,2
13,1,reasoning,reasoning_all,7,1,0,5
13,2,reasoning,reasoning_all,5,0,3,3
13,3,reasoning,reasoning_all,4,0,0,3
13,4,reasoning,reasoning_all,4,1,0,4
14,1,reasoning,reasoning_all,3,3,3,9
14,2,reasoning,reasoning_all,5,3,1,10
14,3,reasoning,reasoning_all,0,0,0,0
14,4,reasoning,reasoning_all,8,3,5,4
15,1,reasoning,reasoning_all,6,0,0,0
15,2,reasoning,reasoning_all,4,0,0,0
15,3,reasoning,reasoning_all,6,0,0,0
15,4,reasoning,reasoning_all,5,0,0,0
16,1,reasoning,reasoning_all,6,3,6,1
16,2,reasoning,reasoning_all,5,3,2,0
16,3,reasoning,reasoning_all,4,3,2,0
16,4,reasoning,reasoning_all,2,3,3,0
17,1,reasoning,reasoning_all,0,0,0,0
17,2,reasoning,reasoning_all,10,0,0,6
17,3,reasoning,reasoning_all,10,0,9,6
17,4,reasoning,reasoning_all,0,0,0,5
18,1,reasoning,reasoning_all,7,0,0,0
18,2,reasoning,reasoning_all,5,0,2,0
18,3,reasoning,reasoning_all,5,0,0,0
18,4,reasoning,reasoning_all,7,0,6,1
19,1,reasoning,reasoning_all,12,0,0,5
19,2,reasoning,reasoning_all,12,0,19,8
19,3,reasoning,reasoning_all,7,0,5,5
19,4,reasoning,reasoning_all,8,0,12,7
