problem_id,iteration,field,file_source,adding_knowledge,example_testing,uncertainty_estimation,backtracking
0,1,reasoning,base_reasoning,5,0,0,0
0,2,reasoning,base_reasoning,3,0,4,1
0,3,reasoning,base_reasoning,6,0,0,0
0,4,reasoning,base_reasoning,5,0,0,0
1,1,reasoning,base_reasoning,5,3,7,6
1,2,reasoning,base_reasoning,5,3,2,0
1,3,reasoning,base_reasoning,7,3,1,0
1,4,reasoning,base_reasoning,6,3,0,0
10,1,reasoning,base_reasoning,11,0,0,3
10,2,reasoning,base_reasoning,5,0,4,3
10,3,reasoning,base_reasoning,10,0,5,4
10,4,reasoning,base_reasoning,8,0,7,7
11,1,reasoning,base_reasoning,5,0,0,0
11,2,reasoning,base_reasoning,4,0,0,0
11,3,reasoning,base_reasoning,4,0,0,0
11,4,reasoning,base_reasoning,5,0,0,2
12,1,reasoning,base_reasoning,0,0,0,0
12,2,reasoning,base_reasoning,0,5,3,3
12,3,reasoning,base_reasoning,5,5,6,3
12,4,reasoning,base_reasoning,5,4,3,2
13,1,reasoning,base_reasoning,7,1,0,5
13,2,reasoning,base_reasoning,5,0,3,3
13,3,reasoning,base_reasoning,4,0,0,3
13,4,reasoning,base_reasoning,4,1,0,4
14,1,reasoning,base_reasoning,3,3,3,9
14,2,reasoning,base_reasoning,5,3,1,10
14,3,reasoning,base_reasoning,0,0,0,0
14,4,reasoning,base_reasoning,8,3,5,4
15,1,reasoning,base_reasoning,6,0,0,0
15,2,reasoning,base_reasoning,4,0,0,0
15,3,reasoning,base_reasoning,6,0,0,0
15,4,reasoning,base_reasoning,5,0,0,0
16,1,reasoning,base_reasoning,6,3,6,1
16,2,reasoning,base_reasoning,5,3,2,0
16,3,reasoning,base_reasoning,4,3,2,0
16,4,reasoning,base_reasoning,2,3,3,0
17,1,reasoning,base_reasoning,0,0,0,0
17,2,reasoning,base_reasoning,10,0,0,6
17,3,reasoning,base_reasoning,10,0,9,6
17,4,reasoning,base_reasoning,0,0,0,5
18,1,reasoning,base_reasoning,7,0,0,0
18,2,reasoning,base_reasoning,5,0,2,0
18,3,reasoning,base_reasoning,5,0,0,0
18,4,reasoning,base_reasoning,7,0,6,1
19,1,reasoning,base_reasoning,12,0,0,5
19,2,reasoning,base_reasoning,12,0,19,8
19,3,reasoning,base_reasoning,7,0,5,5
19,4,reasoning,base_reasoning,8,0,12,7
2,1,reasoning,base_reasoning,12,0,0,4
2,2,reasoning,base_reasoning,6,0,0,4
2,3,reasoning,base_reasoning,12,0,0,0
2,4,reasoning,base_reasoning,8,6,14,6
20,1,reasoning,base_reasoning,10,0,0,1
20,2,reasoning,base_reasoning,5,0,6,3
20,3,reasoning,base_reasoning,7,0,10,4
20,4,reasoning,base_reasoning,7,0,0,0
2024-I-1,1,reasoning,base_reasoning,4,0,6,1
2024-I-1,2,reasoning,base_reasoning,7,0,5,1
2024-I-1,3,reasoning,base_reasoning,6,0,0,1
2024-I-1,4,reasoning,base_reasoning,4,0,0,0
2024-I-10,1,reasoning,base_reasoning,0,0,0,1
2024-I-10,2,reasoning,base_reasoning,7,0,0,2
2024-I-10,3,reasoning,base_reasoning,10,0,9,5
2024-I-10,4,reasoning,base_reasoning,5,0,0,2
2024-I-11,1,reasoning,base_reasoning,5,0,2,5
2024-I-11,2,reasoning,base_reasoning,6,0,20,6
2024-I-11,3,reasoning,base_reasoning,10,4,0,7
2024-I-11,4,reasoning,base_reasoning,4,0,0,4
2024-I-12,1,reasoning,base_reasoning,12,0,0,8
2024-I-12,2,reasoning,base_reasoning,12,0,0,0
2024-I-12,3,reasoning,base_reasoning,0,0,0,0
2024-I-12,4,reasoning,base_reasoning,12,0,0,0
2024-I-13,1,reasoning,base_reasoning,4,0,15,0
2024-I-13,2,reasoning,base_reasoning,4,2,3,3
2024-I-13,3,reasoning,base_reasoning,5,2,4,3
2024-I-13,4,reasoning,base_reasoning,4,2,4,1
2024-I-14,1,reasoning,base_reasoning,7,0,29,5
2024-I-14,2,reasoning,base_reasoning,6,0,3,3
2024-I-14,3,reasoning,base_reasoning,4,0,33,7
2024-I-14,4,reasoning,base_reasoning,7,0,2,5
2024-I-15,1,reasoning,base_reasoning,8,2,15,4
2024-I-15,2,reasoning,base_reasoning,0,0,10,0
2024-I-15,3,reasoning,base_reasoning,4,4,0,3
2024-I-15,4,reasoning,base_reasoning,8,6,10,7
2024-I-2,1,reasoning,base_reasoning,4,0,8,2
2024-I-2,2,reasoning,base_reasoning,3,0,4,0
2024-I-2,3,reasoning,base_reasoning,3,0,7,1
2024-I-2,4,reasoning,base_reasoning,7,2,11,0
2024-I-3,1,reasoning,base_reasoning,4,5,7,3
2024-I-3,2,reasoning,base_reasoning,4,3,0,2
2024-I-3,3,reasoning,base_reasoning,3,10,10,0
2024-I-3,4,reasoning,base_reasoning,3,1,5,1
2024-I-4,1,reasoning,base_reasoning,3,0,1,2
2024-I-4,2,reasoning,base_reasoning,5,0,1,2
2024-I-4,3,reasoning,base_reasoning,5,0,1,1
2024-I-4,4,reasoning,base_reasoning,6,0,0,0
2024-I-5,1,reasoning,base_reasoning,0,0,0,0
2024-I-5,2,reasoning,base_reasoning,6,0,8,5
2024-I-5,3,reasoning,base_reasoning,0,0,12,3
2024-I-5,4,reasoning,base_reasoning,0,0,0,0
2024-I-6,1,reasoning,base_reasoning,6,1,8,1
2024-I-6,2,reasoning,base_reasoning,4,1,2,0
2024-I-6,3,reasoning,base_reasoning,3,1,5,2
2024-I-6,4,reasoning,base_reasoning,5,1,15,4
2024-I-7,1,reasoning,base_reasoning,6,0,8,2
2024-I-7,2,reasoning,base_reasoning,7,0,8,0
2024-I-7,3,reasoning,base_reasoning,4,0,0,0
2024-I-7,4,reasoning,base_reasoning,4,0,4,0
2024-I-8,1,reasoning,base_reasoning,0,0,0,4
2024-I-8,2,reasoning,base_reasoning,0,0,0,0
2024-I-8,3,reasoning,base_reasoning,4,0,0,4
2024-I-8,4,reasoning,base_reasoning,6,0,0,4
2024-I-9,1,reasoning,base_reasoning,8,0,0,3
2024-I-9,2,reasoning,base_reasoning,7,0,0,0
2024-I-9,3,reasoning,base_reasoning,8,0,0,4
2024-I-9,4,reasoning,base_reasoning,3,0,0,2
2024-II-1,1,reasoning,base_reasoning,2,0,5,2
2024-II-1,2,reasoning,base_reasoning,3,0,3,1
2024-II-1,3,reasoning,base_reasoning,1,0,0,0
2024-II-1,4,reasoning,base_reasoning,2,0,1,0
2024-II-10,1,reasoning,base_reasoning,12,0,0,0
2024-II-10,2,reasoning,base_reasoning,10,0,0,5
2024-II-10,3,reasoning,base_reasoning,11,0,0,0
2024-II-10,4,reasoning,base_reasoning,8,0,2,4
2024-II-11,1,reasoning,base_reasoning,4,3,0,0
2024-II-11,2,reasoning,base_reasoning,6,2,0,0
2024-II-11,3,reasoning,base_reasoning,14,0,0,2
2024-II-11,4,reasoning,base_reasoning,7,2,0,0
2024-II-12,1,reasoning,base_reasoning,4,0,4,4
2024-II-12,2,reasoning,base_reasoning,5,4,11,3
2024-II-12,3,reasoning,base_reasoning,4,1,20,4
2024-II-12,4,reasoning,base_reasoning,4,2,0,0
2024-II-13,1,reasoning,base_reasoning,7,0,17,4
2024-II-13,2,reasoning,base_reasoning,7,0,3,3
2024-II-13,3,reasoning,base_reasoning,8,0,5,2
2024-II-13,4,reasoning,base_reasoning,5,0,9,4
2024-II-14,1,reasoning,base_reasoning,0,3,0,0
2024-II-14,2,reasoning,base_reasoning,15,2,7,4
2024-II-14,3,reasoning,base_reasoning,7,1,9,4
2024-II-14,4,reasoning,base_reasoning,6,1,0,0
2024-II-15,1,reasoning,base_reasoning,12,0,4,5
2024-II-15,2,reasoning,base_reasoning,12,0,8,8
2024-II-15,3,reasoning,base_reasoning,10,0,3,3
