problem_id,iteration,field,adding_knowledge,example_testing,uncertainty_estimation,backtracking
0,2,summary,3,0,0,0
0,3,summary,3,0,0,0
1,2,summary,1,0,0,0
1,3,summary,0,0,0,0
10,2,summary,4,0,1,2
10,3,summary,4,0,0,1
11,2,summary,6,0,0,0
11,3,summary,4,0,0,1
12,2,summary,1,2,0,0
12,3,summary,6,1,0,0
13,2,summary,3,0,0,0
13,3,summary,4,0,0,0
14,2,summary,3,3,0,0
14,3,summary,4,0,0,1
15,2,summary,4,0,0,0
15,3,summary,3,0,0,0
16,2,summary,1,0,0,0
16,3,summary,2,0,0,0
17,2,summary,0,0,0,0
17,3,summary,6,0,0,0
18,2,summary,5,0,0,0
18,3,summary,4,0,0,0
19,2,summary,3,0,2,1
19,3,summary,4,0,0,0
2,2,summary,4,0,0,0
2,3,summary,6,6,0,1
20,2,summary,4,0,0,0
20,3,summary,6,0,0,0
2024-I-1,2,summary,4,0,0,0
2024-I-1,3,summary,6,0,0,0
2024-I-10,2,summary,4,0,0,0
2024-I-10,3,summary,2,0,0,0
2024-I-11,2,summary,4,0,0,0
2024-I-11,3,summary,5,0,0,0
2024-I-12,2,summary,5,0,1,0
2024-I-12,3,summary,5,0,1,0
2024-I-13,2,summary,4,2,0,1
2024-I-13,3,summary,5,0,0,0
2024-I-14,2,summary,6,0,0,0
2024-I-14,3,summary,4,0,3,0
2024-I-15,2,summary,6,3,0,2
2024-I-15,3,summary,4,2,0,0
2024-I-2,2,summary,0,0,0,0
2024-I-2,3,summary,1,0,0,0
2024-I-3,2,summary,5,1,0,0
2024-I-3,3,summary,3,1,0,0
2024-I-4,2,summary,0,0,0,0
2024-I-4,3,summary,3,0,0,0
2024-I-5,2,summary,1,0,0,0
2024-I-5,3,summary,3,0,0,1
2024-I-6,2,summary,2,1,1,0
2024-I-6,3,summary,5,1,0,0
2024-I-7,2,summary,3,0,0,0
2024-I-7,3,summary,4,0,0,0
2024-I-8,2,summary,0,0,0,3
2024-I-8,3,summary,1,0,0,0
2024-I-9,2,summary,3,0,0,0
2024-I-9,3,summary,5,0,0,0
2024-II-1,2,summary,0,0,0,0
2024-II-1,3,summary,0,0,0,0
2024-II-10,2,summary,4,0,0,0
2024-II-10,3,summary,5,0,0,0
2024-II-11,2,summary,5,0,0,0
2024-II-11,3,summary,5,0,0,0
2024-II-12,2,summary,5,0,0,0
2024-II-12,3,summary,5,0,0,0
2024-II-13,2,summary,4,0,0,0
2024-II-13,3,summary,5,0,0,0
2024-II-14,2,summary,7,0,0,0
2024-II-14,3,summary,7,1,0,0
2024-II-15,2,summary,3,0,3,2
2024-II-15,3,summary,2,0,0,2
2024-II-2,2,summary,5,2,0,0
2024-II-2,3,summary,6,3,1,0
2024-II-3,2,summary,5,0,0,0
2024-II-3,3,summary,4,0,0,0
2024-II-4,2,summary,0,0,0,0
2024-II-4,3,summary,0,0,0,0
2024-II-5,2,summary,2,0,0,0
2024-II-5,3,summary,3,1,0,0
2024-II-6,2,summary,4,0,0,0
2024-II-6,3,summary,3,0,0,0
2024-II-7,2,summary,3,0,0,0
2024-II-7,3,summary,0,0,0,0
2024-II-8,2,summary,4,0,0,0
2024-II-8,3,summary,3,0,0,0
2024-II-9,2,summary,5,0,1,0
2024-II-9,3,summary,4,0,0,0
21,2,summary,2,0,1,1
21,3,summary,4,0,1,1
22,2,summary,5,0,0,0
22,3,summary,5,0,0,0
23,2,summary,6,0,0,0
23,3,summary,8,0,0,0
24,2,summary,5,0,0,0
24,3,summary,4,0,0,0
25,2,summary,4,0,1,3
25,3,summary,5,0,2,2
26,2,summary,1,0,0,0
26,3,summary,4,0,0,0
27,2,summary,5,1,0,0
27,3,summary,7,0,0,1
28,2,summary,3,0,0,3
28,3,summary,3,0,0,0
29,2,summary,4,0,0,0
29,3,summary,4,0,0,0
3,2,summary,5,0,0,0
3,3,summary,3,0,0,0
4,2,summary,3,0,0,1
4,3,summary,6,0,0,0
5,2,summary,6,0,0,0
5,3,summary,4,0,0,0
6,2,summary,4,0,0,0
6,3,summary,3,0,0,1
7,2,summary,5,0,0,0
7,3,summary,4,0,0,0
8,2,summary,6,0,0,0
8,3,summary,9,0,0,0
9,2,summary,3,0,4,4
9,3,summary,5,1,0,1
