id,question,solution,answer
H6-001,"For $\{1, 2, 3, \ldots, n\}$ and each of its non-empty subsets a unique <b>alternating sum</b> is defined as follows. Arrange the numbers in the subset in decreasing order and then, beginning with the largest, alternately add and subtract successive numbers. For example, the alternating sum for $\{1, 2, 3, 6,9\}$ is $9-6+3-2+1=5$ and for $\{5\}$ it is simply $5$. Find the sum of all such alternating sums for $n=7$.","Let $S$ be a non- empty subset of $\{1,2,3,4,5,6\}$. 
Then the alternating sum of $S$, plus the alternating sum of $S \cup \{7\}$, is $7$. This is because, since $7$ is the largest element, when we take an alternating sum, each number in $S$ ends up with the opposite sign of each corresponding element of $S\cup \{7\}$.
Because there are $2^{6}=64$ of these pairs of sets, the sum of all possible subsets of our given set is $64 \cdot 7$, giving an answer of $\boxed{448}$.",448
H6-002,"In the adjoining figure, two circles with radii $8$ and $6$ are drawn with their centers $12$ units apart. At $P$, one of the points of intersection, a line is drawn in such a way that the chords $QP$ and $PR$ have equal length. Find the square of the length of $QP$. [asy]size(160); defaultpen(linewidth(.8pt)+fontsize(11pt)); dotfactor=3; pair O1=(0,0), O2=(12,0); path C1=Circle(O1,8), C2=Circle(O2,6); pair P=intersectionpoints(C1,C2)[0]; path C3=Circle(P,sqrt(130)); pair Q=intersectionpoints(C3,C1)[0]; pair R=intersectionpoints(C3,C2)[1]; draw(C1); draw(C2); draw(O2--O1); dot(O1); dot(O2); draw(Q--R); label(""$Q$"",Q,NW); label(""$P$"",P,1.5*dir(80)); label(""$R$"",R,NE); label(""12"",waypoint(O1--O2,0.4),S);[/asy]","Firstly, notice that if we reflect $R$ over $P$, we get $Q$. Since we know that $R$ is on circle $B$ and $Q$ is on circle $A$, we can reflect circle $B$ over $P$ to get another circle (centered at a new point $C$, and with radius $6$) that intersects circle $A$ at $Q$. The rest is just finding lengths, as follows.
Since $P$ is the midpoint of segment $BC$, $AP$ is a median of $\triangle ABC$. Because we know $AB=12$, $BP=PC=6$, and $AP=8$, we can find the third side of the triangle using Stewart's Theorem or similar approaches. We get $AC = \sqrt{56}$. Now we have a kite $AQCP$ with $AQ=AP=8$, $CQ=CP=6$, and $AC=\sqrt{56}$, and all we need is the length of the other diagonal $PQ$. The easiest way it can be found is with the Pythagorean Theorem. Let $2x$ be the length of $PQ$. Then
$\sqrt{36-x^2} + \sqrt{64-x^2} = \sqrt{56}.$
Solving this equation, we find that $x^2=\frac{65}{2}$, so $PQ^2 = 4x^2 = \boxed{130}.$",130
H6-003,"The adjoining figure shows two intersecting chords in a circle, with $B$ on minor arc $AD$. Suppose that the radius of the circle is $5$, that $BC=6$, and that $AD$ is bisected by $BC$. Suppose further that $AD$ is the only chord starting at $A$ which is bisected by $BC$. It follows that the sine of the central angle of minor arc $AB$ is a rational number. If this number is expressed as a fraction $\frac{m}{n}$ in lowest terms, what is the product $mn$? [asy]size(100); defaultpen(linewidth(.8pt)+fontsize(11pt)); dotfactor=1; pair O1=(0,0); pair A=(-0.91,-0.41); pair B=(-0.99,0.13); pair C=(0.688,0.728); pair D=(-0.25,0.97); path C1=Circle(O1,1); draw(C1); label(""$A$"",A,W); label(""$B$"",B,W); label(""$C$"",C,NE); label(""$D$"",D,N); draw(A--D); draw(B--C); pair F=intersectionpoint(A--D,B--C); add(pathticks(A--F,1,0.5,0,3.5)); add(pathticks(F--D,1,0.5,0,3.5)); [/asy]","[asy] size(10cm); import olympiad; pair O = (0,0);dot(O);label(""$O$"",O,SW); pair M = (4,0);dot(M);label(""$M$"",M,SE); pair N = (4,2);dot(N);label(""$N$"",N,NE); draw(circle(O,5)); pair B = (4,3);dot(B);label(""$B$"",B,NE); pair C = (4,-3);dot(C);label(""$C$"",C,SE); draw(B--C);draw(O--M); pair P = (1.5,2);dot(P);label(""$P$"",P,W); draw(circle(P,2.5)); pair A=(3,4);dot(A);label(""$A$"",A,NE); draw(O--A); draw(O--B); pair Q = (1.5,0); dot(Q); label(""$Q$"",Q,S); pair R = (3,0); dot(R); label(""$R$"",R,S); draw(P--Q,dotted); draw(A--R,dotted); pair D=(5,0); dot(D); label(""$D$"",D,E); draw(A--D); [/asy]Let $A$ be any fixed point on circle $O$, and let $AD$ be a chord of circle $O$. The locus of midpoints $N$ of the chord $AD$ is a circle $P$, with diameter $AO$. Generally, the circle $P$ can intersect the chord $BC$ at two points, one point, or they may not have a point of intersection. By the problem condition, however, the circle $P$ is tangent to $BC$ at point $N$. 
Let $M$ be the midpoint of the chord $BC$. From right triangle $OMB$, we have $OM = \sqrt{OB^2 - BM^2} =4$. This gives $\tan \angle BOM = \frac{BM}{OM} = \frac 3 4$.
Notice that the distance $OM$ equals $PN + PO \cos \angle AOM = r(1 + \cos \angle AOM)$, where $r$ is the radius of circle $P$. 
Hence \[\cos \angle AOM = \frac{OM}{r} - 1 = \frac{2OM}{R} - 1 = \frac 8 5 - 1 = \frac 3 5\] (where $R$ represents the radius, $5$, of the large circle given in the question). Therefore, since $\angle AOM$ is clearly acute, we see that \[\tan \angle AOM =\frac{\sqrt{1 - \cos^2 \angle AOM}}{\cos \angle AOM} = \frac{\sqrt{5^2 - 3^2}}{3} = \frac 4 3\]
Next, notice that $\angle AOB = \angle AOM - \angle BOM$. We can therefore apply the subtraction formula for $\tan$ to obtain \[\tan \angle AOB =\frac{\tan \angle AOM - \tan \angle BOM}{1 + \tan \angle AOM \cdot \tan \angle BOM} =\frac{\frac 4 3 - \frac 3 4}{1 + \frac 4 3 \cdot \frac 3 4} = \frac{7}{24}\] It follows that $\sin \angle AOB =\frac{7}{\sqrt{7^2+24^2}} = \frac{7}{25}$, such that the answer is $7 \cdot 25=\boxed{175}$.",175
H6-004,Find the value of $10\cot(\cot^{-1}3+\cot^{-1}7+\cot^{-1}13+\cot^{-1}21).$,"We know that $\tan(\arctan(x)) = x$ so we can repeatedly apply the addition formula, $\tan(x+y) = \frac{\tan(x)+\tan(y)}{1-\tan(x)\tan(y)}$. Let $a = \cot^{-1}(3)$, $b=\cot^{-1}(7)$, $c=\cot^{-1}(13)$, and $d=\cot^{-1}(21)$. We have
$\tan(a)=\frac{1}{3},\quad\tan(b)=\frac{1}{7},\quad\tan(c)=\frac{1}{13},\quad\tan(d)=\frac{1}{21}$,
so
$\tan(a+b) = \frac{\frac{1}{3}+\frac{1}{7}}{1-\frac{1}{21}} = \frac{1}{2}$
and
$\tan(c+d) = \frac{\frac{1}{13}+\frac{1}{21}}{1-\frac{1}{273}} = \frac{1}{8}$,
so
$\tan((a+b)+(c+d)) = \frac{\frac{1}{2}+\frac{1}{8}}{1-\frac{1}{16}} = \frac{2}{3}$.
Thus our answer is $10\cdot\frac{3}{2}=\boxed{15}$.",15
H6-005,What is the largest even integer that cannot be written as the sum of two odd composite numbers?,"Take an even positive integer $x$. $x$ is either $0 \bmod{6}$, $2 \bmod{6}$, or $4 \bmod{6}$. Notice that the numbers $9$, $15$, $21$, ... , and in general $9 + 6n$ for nonnegative $n$ are odd composites. We now have 3 cases:
If $x \ge 18$ and is $0 \bmod{6}$, $x$ can be expressed as $9 + (9+6n)$ for some nonnegative $n$. Note that $9$ and $9+6n$ are both odd composites. 
If $x\ge 44$ and is $2 \bmod{6}$, $x$ can be expressed as $35 + (9+6n)$ for some nonnegative $n$. Note that $35$ and $9+6n$ are both odd composites. 
If $x\ge 34$ and is $4 \bmod{6}$, $x$ can be expressed as $25 + (9+6n)$ for some nonnegative $n$. Note that $25$ and $9+6n$ are both odd composites.
Clearly, if $x \ge 44$, it can be expressed as a sum of 2 odd composites. However, if $x = 42$, it can also be expressed using case 1, and if $x = 40$, using case 3. $38$ is the largest even integer that our cases do not cover. If we examine the possible ways of splitting $38$ into two addends, we see that no pair of odd composites add to $38$. Therefore, $\boxed{38}$ is the largest possible number that is not expressible as the sum of two odd composite numbers.",38
H6-006,Determine $x^2+y^2+z^2+w^2$ if $\frac{x^2}{2^2-1}+\frac{y^2}{2^2-3^2}+\frac{z^2}{2^2-5^2}+\frac{w^2}{2^2-7^2}=1$ $\frac{x^2}{4^2-1}+\frac{y^2}{4^2-3^2}+\frac{z^2}{4^2-5^2}+\frac{w^2}{4^2-7^2}=1$ $\frac{x^2}{6^2-1}+\frac{y^2}{6^2-3^2}+\frac{z^2}{6^2-5^2}+\frac{w^2}{6^2-7^2}=1$ $\frac{x^2}{8^2-1}+\frac{y^2}{8^2-3^2}+\frac{z^2}{8^2-5^2}+\frac{w^2}{8^2-7^2}=1$,"Rewrite the system of equations as \[\frac{x^{2}}{t-1}+\frac{y^{2}}{t-3^{2}}+\frac{z^{2}}{t-5^{2}}+\frac{w^{2}}{t-7^{2}}=1.\] 
This equation is satisfied when $t \in \{4, 16, 36, 64\}$. After clearing fractions, for each of the values $t=4,16,36,64$, we have the equation 
\[x^2P_1(t)+y^2P_3(t)+z^2P_5(t)+w^2P_7(t)=F(t),\]where $F(t)=(t-1^2)(t-3^2)(t-5^2)(t-7^2)$ and $P_k(t)=F(t)/(t-k^2)$, for $k=1,3,5,7$.
Since the polynomials on each side are equal at $t=4,16,36,64$, we can express the difference of the two polynomials by a quartic polynomial that has roots at $t=4,16,36,64$, so
\begin{align} \tag{\dag}x^2P_1(t)+y^2P_3(t)+z^2P_5(t)+w^2P_7(t)-F(t) = -(t-4)(t-16)(t-36)(t-64) \end{align}
The leading coefficient of the RHS is $-1$ because the leading coefficient of the LHS is $-1$.
Plug in $t=1^2, 3^2, 5^2, 7^2$ in succession, into $(\dag)$. In each case, most terms drop, and we end up with
\begin{align*} x^2=\frac{3^2\cdot 5^2\cdot 7^2}{2^{10}}, \quad y^2=\frac{3^3\cdot 5\cdot 7\cdot 11}{2^{10}},\quad z^2=\frac{3^2\cdot 7\cdot 11\cdot 13}{2^{10}},\quad w^2=\frac{3^2\cdot 5\cdot 11\cdot 13}{2^{10}} \end{align*}
Adding them up we get the sum as $3^2\cdot 4=\boxed{36}$.
<b>Postscript for the puzzled</b>: This solution which is seemingly unnecessarily redundant in that it computes $x^2,y^2,z^2,$ and $w^2$ separately before adding them to obtain the final answer is appealing because it gives the individual values of $x^2,y^2,z^2,$ and $w^2$ which can be plugged into the given equations to check.",36
H6-007,"The numbers in the sequence $101$, $104$, $109$, $116$,$\ldots$ are of the form $a_n=100+n^2$, where $n=1,2,3,\ldots$ For each $n$, let $d_n$ be the greatest common divisor of $a_n$ and $a_{n+1}$. Find the maximum value of $d_n$ as $n$ ranges through the positive integers.","If $(x,y)$ denotes the greatest common divisor of $x$ and $y$, then we have $d_n=(a_n,a_{n+1})=(100+n^2,100+n^2+2n+1)$. Now assuming that $d_n$ divides $100+n^2$, it must divide $2n+1$ if it is going to divide the entire expression $100+n^2+2n+1$.
Thus the equation turns into $d_n=(100+n^2,2n+1)$. Now note that since $2n+1$ is odd for integral $n$, we can multiply the left integer, $100+n^2$, by a power of two without affecting the greatest common divisor. Since the $n^2$ term is quite restrictive, let's multiply by $4$ so that we can get a $(2n+1)^2$ in there.
So $d_n=(4n^2+400,2n+1)=((2n+1)^2-4n+399,2n+1)=(-4n+399,2n+1)$. It simplified the way we wanted it to!
Now using similar techniques we can write $d_n=(-2(2n+1)+401,2n+1)=(401,2n+1)$. Thus $d_n$ must divide $\boxed{401}$ for every single $n$. This means the largest possible value for $d_n$ is $401$, and we see that it can be achieved when $n = 200$.",401
H6-008,"In a tournament each player played exactly one game against each of the other players. In each game the winner was awarded $1$ point, the loser got $0$ points, and each of the two players earned $\frac{1}{2}$ point if the game was a tie. After the completion of the tournament, it was found that exactly half of the points earned by each player were earned against the ten players with the least number of points. (In particular, each of the ten lowest scoring players earned half of her/his points against the other nine of the ten). What was the total number of players in the tournament?","Let us suppose for convenience that there were $n + 10$ players overall. Among the $n$ players not in the weakest 10 there were $n \choose 2$ games played and thus $n \choose 2$ points earned. By the givens, this means that these $n$ players also earned $n \choose 2$ points against our weakest 10. Now, the 10 weakest players playing amongst themselves played ${10 \choose 2} = 45$ games and so earned 45 points playing each other. Then they also earned 45 points playing against the stronger $n$ players. Since every point earned falls into one of these categories, It follows that the total number of points earned was $2{n \choose 2} + 90 = n^2 - n + 90$. However, there was one point earned per game, and there were a total of ${n + 10 \choose 2} = \frac{(n + 10)(n + 9)}{2}$ games played and thus $\frac{(n + 10)(n + 9)}{2}$ points earned. So we have $n^2 -n + 90 = \frac{(n + 10)(n + 9)}{2}$ so $2n^2 - 2n + 180 = n^2 + 19n + 90$ and $n^2 -21n + 90 = 0$ and $n = 6$ or $n = 15$. Now, note that the top $n$ players got $n(n - 1)$ points in total (by our previous calculation) for an average of $n - 1$, while the bottom 10 got 90 points total, for an average of 9. Thus we must have $n > 10$, so $n = 15$ and the answer is $15 + 10 = \boxed{25}$.",25
H6-009,"Three 12 cm $\times$12 cm squares are each cut into two pieces $A$ and $B$, as shown in the first figure below, by joining the midpoints of two adjacent sides. These six pieces are then attached to a regular hexagon, as shown in the second figure, so as to fold into a polyhedron. What is the volume (in $\mathrm{cm}^3$) of this polyhedron?","Note that gluing two of the given polyhedra together along a hexagonal face (rotated $60^\circ$ from each other) yields a cube, so the volume is $\frac12 \cdot 12^3 = 864$, so our answer is $\boxed{864}$.
Image:",864
H6-010,"In a sequence of coin tosses, one can keep a record of instances in which a tail is immediately followed by a head, a head is immediately followed by a head, and etc. We denote these by <tt>TH</tt>, <tt>HH</tt>, and etc. For example, in the sequence <tt>TTTHHTHTTTHHTTH</tt> of 15 coin tosses we observe that there are two <tt>HH</tt>, three <tt>HT</tt>, four <tt>TH</tt>, and five <tt>TT</tt> subsequences. How many different sequences of 15 coin tosses will contain exactly two <tt>HH</tt>, three <tt>HT</tt>, four <tt>TH</tt>, and five <tt>TT</tt> subsequences?","Let's consider each of the sequences of two coin tosses as an operation instead; this operation takes a string and adds the next coin toss on (eg, <tt>THHTH</tt> + <tt>HT</tt> = <tt>THHTHT</tt>). We examine what happens to the last coin toss. Adding <tt>HH</tt> or <tt>TT</tt> is simply an identity for the last coin toss, so we will ignore them for now. However, adding <tt>HT</tt> or <tt>TH</tt> switches the last coin. <tt>H</tt> switches to <tt>T</tt> three times, but <tt>T</tt> switches to <tt>H</tt> four times; hence it follows that our string will have a structure of <tt>THTHTHTH</tt>. 
Now we have to count all of the different ways we can add the identities back in. There are 5 <tt>TT</tt> subsequences, which means that we have to add 5 <tt>T</tt> into the strings, as long as the new <tt>T</tt>s are adjacent to existing <tt>T</tt>s. There are already 4 <tt>T</tt>s in the sequence, and since order doesn't matter between different tail flips this just becomes the ball-and-urn argument. We want to add 5 balls into 4 urns, which is the same as 3 dividers; hence this gives ${{5+3}\choose3} = 56$ combinations. We do the same with 2 <tt>H</tt>s to get ${{2+3}\choose3} = 10$ combinations; thus there are $56 \cdot 10 = \boxed{560}$ possible sequences.",560
