problem_id,seed,experiment_type,iteration_0_completion_tokens,iteration_1_completion_tokens,iteration_2_completion_tokens,iteration_3_completion_tokens,iteration_4_completion_tokens
0,seed0,backtracking,4685.0,3078.0,3092.0,3896.0,3117.0
1,seed0,backtracking,2916.0,2175.0,2277.0,1952.0,2563.0
10,seed0,backtracking,14605.0,15234.0,6883.0,5892.0,8657.0
11,seed0,backtracking,22273.0,9692.0,6597.0,6509.0,12464.0
12,seed0,backtracking,23767.0,25494.0,15837.0,19914.0,23943.0
13,seed0,backtracking,8871.0,11484.0,4480.0,3907.0,3269.0
14,seed0,backtracking,27238.0,18894.0,9344.0,16017.0,19725.0
15,seed0,backtracking,4024.0,3021.0,2714.0,3632.0,2957.0
16,seed0,backtracking,2103.0,1931.0,1924.0,1511.0,1890.0
17,seed0,backtracking,28432.0,15709.0,12660.0,12474.0,15727.0
18,seed0,backtracking,3822.0,4215.0,3669.0,3109.0,2693.0
19,seed0,backtracking,15869.0,16873.0,9278.0,6675.0,4615.0
2,seed0,backtracking,22490.0,16801.0,14396.0,17378.0,14389.0
20,seed0,backtracking,11677.0,19870.0,18856.0,21739.0,18662.0
2024-I-1,seed0,backtracking,3785.0,2941.0,2592.0,2237.0,2451.0
2024-I-10,seed0,backtracking,18091.0,8407.0,11132.0,28153.0,11848.0
2024-I-11,seed0,backtracking,11407.0,16451.0,20653.0,20224.0,14309.0
2024-I-12,seed0,backtracking,15581.0,14372.0,10595.0,11420.0,8654.0
2024-I-13,seed0,backtracking,9952.0,4919.0,2602.0,2853.0,5070.0
2024-I-14,seed0,backtracking,13111.0,4229.0,3737.0,20559.0,9058.0
2024-I-15,seed0,backtracking,6745.0,5437.0,3682.0,5008.0,3175.0
2024-I-2,seed0,backtracking,8744.0,8922.0,6729.0,2324.0,5097.0
2024-I-3,seed0,backtracking,5380.0,2514.0,2438.0,2465.0,2155.0
2024-I-4,seed0,backtracking,2818.0,2547.0,1830.0,2238.0,1926.0
2024-I-5,seed0,backtracking,8556.0,22198.0,20243.0,8067.0,5763.0
2024-I-6,seed0,backtracking,2630.0,3253.0,2525.0,1719.0,1812.0
2024-I-7,seed0,backtracking,5998.0,3123.0,2641.0,5396.0,2347.0
2024-I-8,seed0,backtracking,26011.0,17324.0,9981.0,9255.0,12842.0
2024-I-9,seed0,backtracking,10258.0,8308.0,4413.0,4371.0,2849.0
2024-II-1,seed0,backtracking,4018.0,3457.0,2957.0,2531.0,4589.0
2024-II-10,seed0,backtracking,8520.0,8692.0,4829.0,5703.0,5135.0
2024-II-11,seed0,backtracking,21785.0,17671.0,5505.0,4199.0,4058.0
2024-II-12,seed0,backtracking,7894.0,7039.0,3371.0,2735.0,5178.0
2024-II-13,seed0,backtracking,6317.0,8839.0,3918.0,3889.0,3582.0
2024-II-14,seed0,backtracking,30294.0,20886.0,14209.0,14340.0,6039.0
2024-II-15,seed0,backtracking,13911.0,12675.0,13376.0,10721.0,16017.0
2024-II-2,seed0,backtracking,10094.0,5651.0,5380.0,4131.0,3561.0
2024-II-3,seed0,backtracking,20670.0,3791.0,4558.0,4701.0,1994.0
2024-II-4,seed0,backtracking,3631.0,2910.0,3396.0,3480.0,2534.0
2024-II-5,seed0,backtracking,13799.0,5042.0,4734.0,3270.0,4305.0
2024-II-6,seed0,backtracking,3068.0,3000.0,2464.0,2278.0,2446.0
2024-II-7,seed0,backtracking,10052.0,8800.0,18948.0,4890.0,3856.0
2024-II-8,seed0,backtracking,32000.0,22092.0,22591.0,20448.0,4736.0
2024-II-9,seed0,backtracking,32000.0,32000.0,14741.0,19123.0,32000.0
21,seed0,backtracking,7030.0,5731.0,12232.0,4488.0,5456.0
22,seed0,backtracking,10965.0,8540.0,6265.0,5591.0,3622.0
23,seed0,backtracking,6968.0,8256.0,6008.0,3688.0,5125.0
24,seed0,backtracking,21898.0,14115.0,15848.0,21034.0,21886.0
25,seed0,backtracking,13981.0,10142.0,12211.0,17415.0,10770.0
26,seed0,backtracking,9547.0,30577.0,5966.0,7670.0,6770.0
27,seed0,backtracking,25213.0,19131.0,30837.0,8989.0,6441.0
28,seed0,backtracking,18625.0,14968.0,6812.0,5882.0,4251.0
29,seed0,backtracking,32000.0,32000.0,20628.0,29749.0,17324.0
3,seed0,backtracking,4472.0,3109.0,3019.0,2834.0,2691.0
4,seed0,backtracking,14677.0,10049.0,21428.0,11351.0,3028.0
5,seed0,backtracking,26645.0,24831.0,24148.0,7910.0,23787.0
6,seed0,backtracking,6401.0,5016.0,5748.0,11751.0,4201.0
7,seed0,backtracking,15132.0,9468.0,9423.0,13085.0,14903.0
8,seed0,backtracking,7391.0,6279.0,5217.0,3082.0,4044.0
9,seed0,backtracking,18934.0,26615.0,18749.0,13288.0,18281.0
0,seed0,base_sum,4685.0,3064.0,2925.0,2786.0,3534.0
1,seed0,base_sum,2916.0,3683.0,2112.0,2254.0,2113.0
10,seed0,base_sum,14605.0,10525.0,9271.0,3645.0,3627.0
11,seed0,base_sum,22273.0,16465.0,17249.0,16928.0,4844.0
12,seed0,base_sum,23767.0,9983.0,6789.0,5068.0,10057.0
13,seed0,base_sum,8871.0,7918.0,11741.0,6633.0,8033.0
14,seed0,base_sum,27238.0,11268.0,6563.0,7982.0,7436.0
15,seed0,base_sum,4024.0,3649.0,3199.0,3644.0,3265.0
16,seed0,base_sum,2103.0,1694.0,2064.0,1733.0,1823.0
17,seed0,base_sum,28432.0,17461.0,21372.0,15224.0,19531.0
18,seed0,base_sum,3822.0,8581.0,9691.0,4214.0,2713.0
19,seed0,base_sum,15869.0,18023.0,12899.0,20309.0,13754.0
2,seed0,base_sum,22490.0,15123.0,17015.0,11553.0,5402.0
20,seed0,base_sum,11677.0,17077.0,6982.0,5158.0,20206.0
2024-I-1,seed0,base_sum,3785.0,3082.0,3830.0,1905.0,2731.0
2024-I-10,seed0,base_sum,18091.0,12181.0,12022.0,23309.0,8656.0
2024-I-11,seed0,base_sum,11407.0,6878.0,5722.0,9904.0,15896.0
2024-I-12,seed0,base_sum,15581.0,13256.0,11313.0,10933.0,12455.0
2024-I-13,seed0,base_sum,9952.0,3925.0,7463.0,3471.0,5238.0
2024-I-14,seed0,base_sum,13111.0,6621.0,4469.0,3753.0,10657.0
2024-I-15,seed0,base_sum,6745.0,3974.0,3309.0,5771.0,4713.0
2024-I-2,seed0,base_sum,8744.0,5145.0,4575.0,6484.0,5148.0
2024-I-3,seed0,base_sum,5380.0,3075.0,2817.0,2348.0,2746.0
2024-I-4,seed0,base_sum,2818.0,2094.0,1719.0,1580.0,1757.0
2024-I-5,seed0,base_sum,8556.0,15469.0,11301.0,8533.0,4225.0
2024-I-6,seed0,base_sum,2630.0,4930.0,4770.0,3887.0,2945.0
2024-I-7,seed0,base_sum,5998.0,3690.0,3665.0,4497.0,3319.0
2024-I-8,seed0,base_sum,26011.0,25322.0,18462.0,8837.0,11822.0
2024-I-9,seed0,base_sum,10258.0,10113.0,7016.0,3048.0,9651.0
2024-II-1,seed0,base_sum,4018.0,3602.0,3215.0,4259.0,3789.0
2024-II-10,seed0,base_sum,8520.0,6025.0,11472.0,7304.0,5064.0
2024-II-11,seed0,base_sum,21785.0,6074.0,7764.0,4892.0,5045.0
2024-II-12,seed0,base_sum,7894.0,4735.0,4631.0,3126.0,1614.0
2024-II-13,seed0,base_sum,6317.0,3519.0,2645.0,4063.0,3457.0
2024-II-14,seed0,base_sum,30294.0,19740.0,17131.0,5014.0,7327.0
2024-II-15,seed0,base_sum,13911.0,11896.0,16925.0,15027.0,12004.0
2024-II-2,seed0,base_sum,10094.0,5934.0,4989.0,4136.0,4491.0
2024-II-3,seed0,base_sum,20670.0,3455.0,4386.0,4344.0,4334.0
2024-II-4,seed0,base_sum,3631.0,3240.0,2516.0,4418.0,3171.0
2024-II-5,seed0,base_sum,13799.0,6170.0,13185.0,6632.0,8584.0
2024-II-6,seed0,base_sum,3068.0,1945.0,3695.0,2847.0,3111.0
2024-II-7,seed0,base_sum,10052.0,10196.0,5745.0,8113.0,6999.0
2024-II-8,seed0,base_sum,32000.0,21263.0,24628.0,28061.0,17445.0
2024-II-9,seed0,base_sum,32000.0,10368.0,7252.0,4192.0,6558.0
21,seed0,base_sum,7030.0,10474.0,4277.0,6319.0,17682.0
22,seed0,base_sum,10965.0,7668.0,6869.0,3521.0,2870.0
23,seed0,base_sum,6968.0,4371.0,3199.0,4389.0,4617.0
24,seed0,base_sum,21898.0,18099.0,15686.0,13238.0,17593.0
25,seed0,base_sum,13981.0,18905.0,10535.0,9309.0,9807.0
26,seed0,base_sum,9547.0,16015.0,6222.0,8580.0,5283.0
