problem_id,experiment_type,iteration_0_compression_rate,iteration_1_compression_rate,iteration_2_compression_rate,iteration_3_compression_rate,iteration_4_compression_rate,seed
0,backtracking,,0.16536712150747238,0.10478654592496765,0.07186858316221766,,0
1,backtracking,,0.19310344827586207,0.17742643829600352,0.1716188524590164,,0
10,backtracking,,0.026650912432716292,0.05491791370042133,0.06364562118126273,,0
11,backtracking,,0.035080478745357,0.06836440806427165,0.07543401444154248,,0
12,backtracking,,0.02239742684553228,0.045842015533244934,0.034849854373807373,,0
13,backtracking,,0.02681992337164751,0.07477678571428571,0.10340414640389045,,0
14,backtracking,,0.01915952154123002,0.039383561643835614,0.02434912905038397,,0
15,backtracking,,0.12909632571996027,0.07921886514369934,0.06938325991189427,,0
16,backtracking,,0.28171931641636455,0.23544698544698545,0.28060886829913967,,0
17,backtracking,,0.034566172257941306,0.0315955766192733,0.031184864518197852,,0
18,backtracking,,0.1402135231316726,0.10929408558190243,0.11289803795432615,,0
19,backtracking,,0.02192852486220589,0.04354386721276137,0.06247191011235955,,0
2,backtracking,,0.015891911195762158,0.02702139483189775,0.01939233513637933,,0
20,backtracking,,0.023855057876195268,0.023971149766652523,0.025622153732922398,,0
2024-I-1,backtracking,,0.1934716082964978,0.22800925925925927,0.19266875279392043,,0
2024-I-10,backtracking,,0.03782562150588795,0.04177146963708229,0.015948566760203176,,0
2024-I-11,backtracking,,0.0314874475715762,0.024112719701738245,0.022695806962025316,,0
2024-I-12,backtracking,,0.03054550514890064,0.062199150542708824,0.031260945709281965,,0
2024-I-13,backtracking,,0.12055295791827607,0.17755572636433511,0.16684192078513846,,0
2024-I-14,backtracking,,0.08583589501064082,0.0941932031040942,0.01794834379104042,,0
2024-I-15,backtracking,,0.08626080559131874,0.0953286257468767,0.11541533546325879,,0
2024-I-2,backtracking,,0.0233131584846447,0.035963739039976225,0.13726333907056798,,0
2024-I-3,backtracking,,0.19212410501193317,0.1944216570959803,0.18620689655172415,,0
2024-I-4,backtracking,,0.19395367098547311,0.2273224043715847,0.20732797140303844,,0
2024-I-5,backtracking,,0.01779439589152176,0.01645013090945018,0.04251890417751333,,0
2024-I-6,backtracking,,0.14355979096218874,0.11485148514851486,0.23734729493891799,,0
2024-I-7,backtracking,,0.10470701248799232,0.15486558121923513,0.06467753891771683,,0
2024-I-8,backtracking,,0.02926575848533826,0.04839194469492035,0.04397622906537007,,0
2024-I-9,backtracking,,0.04489648531535869,0.13936097892590074,0.07343857240905971,,0
2024-II-1,backtracking,,0.075788255713046,0.08995603652350355,0.11023310944290794,,0
2024-II-10,backtracking,,0.04245283018867924,0.07848415821080969,0.05540943363142206,,0
2024-II-11,backtracking,,0.022635957218040858,0.09791099000908265,0.08763991426530127,,0
2024-II-12,backtracking,,0.07131694843017473,0.12459210916641945,0.19122486288848264,,0
2024-II-13,backtracking,,0.042765018667270054,0.09698825931597754,0.10619696580097711,,0
2024-II-14,backtracking,,0.021784927702767402,0.04131184460553171,0.0301952580195258,,0
2024-II-15,backtracking,,0.04047337278106509,0.0409688995215311,0.03600410409476728,,0
2024-II-2,backtracking,,0.07680056627145639,0.09702602230483272,0.1074800290486565,,0
2024-II-3,backtracking,,0.09839092587707729,0.09916630100921457,0.14954265049989365,,0
2024-II-4,backtracking,,0.15738831615120275,0.11866902237926973,0.13706896551724138,,0
2024-II-5,backtracking,,0.06941689805632685,0.05302070130967469,0.08807339449541285,,0
2024-II-6,backtracking,,0.13566666666666666,0.16477272727272727,0.1804214223002634,,0
2024-II-7,backtracking,,0.061136363636363635,0.024329744564070086,0.12474437627811862,,0
2024-II-8,backtracking,,0.018649284808980628,0.021070337745119738,0.029147104851330204,,0
2024-II-9,backtracking,,0.0149375,0.022997082965877484,0.023584165664383202,,0
21,backtracking,,0.07154074332577212,0.032946370176586005,0.0748663101604278,,0
22,backtracking,,0.04601873536299766,0.10199521149241819,0.08173850831693794,,0
23,backtracking,,0.058502906976744186,0.11168442077230359,0.1399132321041215,,0
24,backtracking,,0.028338646829613887,0.03016153457849571,0.029333460112199297,,0
25,backtracking,,0.03914415302701637,0.03685201867168946,0.030089003732414583,,0
26,backtracking,,0.017464107008535828,0.07794166946027489,0.051629726205997394,,0
27,backtracking,,0.03308765877371805,0.013101144728734962,0.05350984536655913,,0
28,backtracking,,0.02338321753073223,0.051967116852613036,0.07446446786807208,,0
29,backtracking,,0.019,0.02181500872600349,0.012941611482738915,,0
3,backtracking,,0.106465101318752,0.14541238820801589,0.07727593507410022,,0
4,backtracking,,0.037914220320429896,0.027067388463692364,0.03744163509822923,,0
5,backtracking,,0.024968789013732832,0.019877422560874606,0.08697850821744627,,0
6,backtracking,,0.10885167464114832,0.07306889352818371,0.048761807505744194,,0
7,backtracking,,0.05249260667511618,0.049347341610951924,0.03171570500573175,,0
8,backtracking,,0.10208631947762382,0.10638297872340426,0.17683322517845554,,0
9,backtracking,,0.016907758782641367,0.02512133980478959,0.027543648404575558,,0
0,base_sum,0.0687299893276414,0.12304177545691906,0.1747008547008547,0.14321608040201006,,0
1,base_sum,0.06824417009602195,0.06163453706217757,0.08996212121212122,0.15173025732031944,,0
10,base_sum,0.031153714481342007,0.033729216152019,0.032251105598101605,0.1064471879286694,,0
11,base_sum,0.03048534099582454,0.03631946553294868,0.04394457649718824,0.03000945179584121,,0
12,base_sum,0.018386838894265158,0.061704898327156164,0.05037560760053027,0.07636148382004736,,0
13,base_sum,0.05749070003381806,0.060621369032583985,0.03739034153819947,0.04266546057590834,,0
14,base_sum,0.010940597694397532,0.0397586084487043,0.05531007161359135,0.02405412177399148,,0
15,base_sum,0.15879721669980118,0.09098383118662648,0.04970303219756174,0.0672338090010977,,0
16,base_sum,0.11174512601046124,0.26859504132231404,0.21608527131782945,0.08770917484131564,,0
17,base_sum,0.01821890827236916,0.027489834488288185,0.01834175556803294,0.028901734104046242,,0
18,base_sum,0.10282574568288853,0.0171308705279105,0.03900526261479723,0.19625059326056005,,0
19,base_sum,0.0231898670363602,0.02313710259113355,0.033025815954725174,0.024816583780589888,,0
2,base_sum,0.009559804357492218,0.016002115982278648,0.024742873934763442,0.033065004760668225,,0
20,base_sum,0.03536867346064914,0.02553141652515079,0.07018046405041535,0.08491663435440093,,0
2024-I-1,base_sum,0.11334214002642008,0.1654769630110318,0.104177545691906,0.25564304461942255,,0
2024-I-10,base_sum,0.01884915151180145,0.04244314916673508,0.026617867243387123,0.010768372731562916,,0
2024-I-11,base_sum,0.028228280880161303,0.06120965396917709,0.07147850401957358,0.042104200323101776,,0
2024-I-12,base_sum,0.01187343559463449,0.0377942063971032,0.057014054627419784,0.027897191987560598,,0
2024-I-13,base_sum,0.055767684887459805,0.08178343949044586,0.0387243735763098,0.11696917314894843,,0
2024-I-14,base_sum,0.037907100907634814,0.038513819664703214,0.07272320429626315,0.05782041033839595,,0
2024-I-15,base_sum,0.042105263157894736,0.08782083543029694,0.16258688425506196,0.07312424189915093,,0
2024-I-2,base_sum,0.04906221408966148,0.0847424684159378,0.10338797814207651,0.07819247378161628,,0
2024-I-3,base_sum,0.06840148698884758,0.09723577235772357,0.14270500532481364,0.16056218057921637,,0
2024-I-4,base_sum,0.18878637331440737,0.23638968481375358,0.23618382780686445,0.2639240506329114,,0
2024-I-5,base_sum,0.031439925198690974,0.021656215657120694,0.03486417131227325,0.03902496191257471,,0
2024-I-6,base_sum,0.14600760456273765,0.05618661257606491,0.0610062893081761,0.11088242860818112,,0
2024-I-7,base_sum,0.02600866955651884,0.07262872628726287,0.08212824010914052,0.06515454747609517,,0
2024-I-8,base_sum,0.02164468878551382,0.01544111839507148,0.016845412198028382,0.04775376258911395,,0
2024-I-9,base_sum,0.049034899590563466,0.04647483437160091,0.04503990877993159,0.1141732283464567,,0
2024-II-1,base_sum,0.06147336983573917,0.2087729039422543,0.12410575427682737,0.17633247241136418,,0
2024-II-10,base_sum,0.033568075117370894,0.07170124481327801,0.038790097629009763,0.08105147864184009,,0
2024-II-11,base_sum,0.018774386045444114,0.06206783009548897,0.028979907264296754,0.06929681112019624,,0
2024-II-12,base_sum,0.03889029642766658,0.08743400211193242,0.12481105592744547,0.21337172104926425,,0
2024-II-13,base_sum,0.10637961057463986,0.13753907360045467,0.15992438563327033,0.0868816145705144,,0
2024-II-14,base_sum,0.017495213573644947,0.024012158054711245,0.025159068355612633,0.07678500199441564,,0
2024-II-15,base_sum,0.025447487599741213,0.02605917955615333,0.018670605612998523,0.024023424502562056,,0
2024-II-2,base_sum,0.045868832970081236,0.04330974047859791,0.06995389857686911,0.07761121856866537,,0
2024-II-3,base_sum,0.018190614417029512,0.08104196816208394,0.06520747834017328,0.08701657458563536,,0
2024-II-4,base_sum,0.2519966951253098,0.12407407407407407,0.12480127186009539,0.1453146220009054,,0
2024-II-5,base_sum,0.017030219581129068,0.0586709886547812,0.0329161926431551,0.05141737032569361,,0
2024-II-6,base_sum,0.14341590612777053,0.11825192802056556,0.12313937753721245,0.11310151036178434,,0
2024-II-7,base_sum,0.031237564663748506,0.036190663005100036,0.09852045256744996,0.04005916430420313,,0
2024-II-8,base_sum,0.01346875,0.018153600150496167,0.02509338963781062,0.012936103488827911,,0
2024-II-9,base_sum,0.013625,0.02141203703703704,0.07225592939878654,0.10806297709923664,,0
21,base_sum,0.06699857752489331,0.07017376360511743,0.11924245966799159,0.08656432979901883,,0
22,base_sum,0.030825353397172822,0.062206572769953054,0.05313728344737225,0.07412666856006817,,0
23,base_sum,0.12729621125143514,0.14070006863417983,0.17849327914973429,0.16336295283663704,,0
24,base_sum,0.017261850397296555,0.02397922537156749,0.026775468570699987,0.0293095633781538,,0
25,base_sum,0.03268721836778485,0.019994710394075643,0.02458471760797342,0.05285207863358041,,0
26,base_sum,0.048077930239865924,0.027349359975023416,0.10302153648344584,0.06491841491841492,,0
27,base_sum,0.02046563280847182,0.019533206450966643,0.032362578697397004,0.017534423407917384,,0
28,base_sum,0.02297986577181208,0.034532721564839414,0.07029226785053644,0.03867577509196006,,0
29,base_sum,0.0198125,0.043856244663510055,0.027982844688181116,0.016015863331299573,,0
3,base_sum,0.12656529516994633,0.15037593984962405,0.16853013362421598,0.1558922558922559,,0
